category,xAxis,yAxis,value,trend,target,color,ID
Jan-12,Team 1,Net Promoter Score,12,0,,#ff0000,1
Jan-12,Team 1,Funded Loans,15,45,,white,2
Jan-12,Team 1,Cycle Time (Refinance),32,90,,white,3
Jan-12,Team 1,Cycle Time (Purchase),20,135,,yellow,4
Jan-12,Team 1,Technical Error Rate,68,180,,white,5
Jan-12,Team 2,Net Promoter Score,123,135,,red,6
Jan-12,Team 2,Funded Loans,56,90,,red,7
Jan-12,Team 2,Cycle Time (Refinance),198,45,,white,8
Jan-12,Team 2,Cycle Time (Purchase),2,0,,white,9
Jan-12,Team 2,Technical Error Rate,0,0,,red,10
Jan-12,Team 3,Net Promoter Score,79.06666667,45,,#ff0001,11
Jan-12,Team 3,Funded Loans,83.87878788,90,,white,12
Jan-12,Team 3,Cycle Time (Refinance),88.69090909,135,,white,13
Jan-12,Team 3,Cycle Time (Purchase),93.5030303,180,,yellow,14
Jan-12,Team 3,Technical Error Rate,98.31515152,135,,white,15
Jan-12,Team 4,Net Promoter Score,103.1272727,90,,#ff0001,16
Jan-12,Team 4,Funded Loans,107.9393939,45,,white,17
Jan-12,Team 4,Cycle Time (Refinance),112.7515152,0,,white,18
Jan-12,Team 4,Cycle Time (Purchase),117.5636364,0,,yellow,19
Jan-12,Team 4,Technical Error Rate,122.3757576,45,,white,20
Jan-12,Team 5,Net Promoter Score,12,90,,#ff0000,21
Jan-12,Team 5,Funded Loans,15,135,,white,22
Jan-12,Team 5,Cycle Time (Refinance),32,180,,white,23
Jan-12,Team 5,Cycle Time (Purchase),20,135,,yellow,24
Jan-12,Team 5,Technical Error Rate,68,90,,white,25
Jan-12,Team 6,Net Promoter Score,123,45,,red,26
Jan-12,Team 6,Funded Loans,56,0,,red,27
Jan-12,Team 6,Cycle Time (Refinance),198,0,,white,28
Jan-12,Team 6,Cycle Time (Purchase),2,45,,white,29
Jan-12,Team 6,Technical Error Rate,0,90,,red,30
Jan-12,Team 7,Net Promoter Score,79.06666667,135,,#ff0001,31
Jan-12,Team 7,Funded Loans,83.87878788,180,,white,32
Jan-12,Team 7,Cycle Time (Refinance),88.69090909,135,,white,33
Jan-12,Team 7,Cycle Time (Purchase),93.5030303,90,,yellow,34
Jan-12,Team 7,Technical Error Rate,98.31515152,45,,white,35
Jan-12,Team 8,Net Promoter Score,76.1959596,0,,red,36
Jan-12,Team 8,Funded Loans,75.09605142,0,,red,37
Jan-12,Team 8,Cycle Time (Refinance),73.99614325,45,,white,38
Jan-12,Team 8,Cycle Time (Purchase),72.89623508,90,,yellow,39
Jan-12,Team 8,Technical Error Rate,71.79632691,135,,green,40
Jan-12,Team 9,Net Promoter Score,63.37730552,180,,red,41
Jan-12,Team 9,Funded Loans,59.15738554,135,,red,42
Jan-12,Team 9,Cycle Time (Refinance),54.93746556,90,,white,43
Jan-12,Team 9,Cycle Time (Purchase),50.71754559,45,,yellow,44
Jan-12,Team 9,Technical Error Rate,46.49762561,0,,green,45
Jan-12,Team 10,Net Promoter Score,48.28684432,0,,red,46
Jan-12,Team 10,Funded Loans,45.25501162,45,,red,47
Jan-12,Team 10,Cycle Time (Refinance),42.22317891,90,,white,48
Jan-12,Team 10,Cycle Time (Purchase),39.19134621,135,,yellow,49
Jan-12,Team 10,Technical Error Rate,36.1595135,180,,green,50
Jan-12,Team 11,Net Promoter Score,46.1356072,135,,white,51
Jan-12,Team 11,Funded Loans,44.75841914,90,,yellow,52
Jan-12,Team 11,Cycle Time (Refinance),43.38123107,45,,green,53
Jan-12,Team 11,Cycle Time (Purchase),42.004043,0,,red,54
Jan-12,Team 11,Technical Error Rate,40.62685493,0,,red,55
Jan-12,Team 12,Net Promoter Score,73.99614325,45,,white,56
Jan-12,Team 12,Funded Loans,72.89623508,90,,yellow,57
Jan-12,Team 12,Cycle Time (Refinance),71.79632691,135,,green,58
Jan-12,Team 12,Cycle Time (Purchase),63.37730552,180,,white,59
Jan-12,Team 12,Technical Error Rate,59.15738554,135,,yellow,60
Jan-12,Team 13,Net Promoter Score,54.93746556,90,,#ff0001,61
Jan-12,Team 13,Funded Loans,50.71754559,45,,white,62
Jan-12,Team 13,Cycle Time (Refinance),46.49762561,0,,white,63
Jan-12,Team 13,Cycle Time (Purchase),48.28684432,0,,yellow,64
Jan-12,Team 13,Technical Error Rate,54.89098552,45,,white,65
Jan-12,Team 14,Net Promoter Score,54.60060255,90,,red,66
Jan-12,Team 14,Funded Loans,54.31021959,135,,red,67
Jan-12,Team 14,Cycle Time (Refinance),54.01983663,180,,white,68
Jan-12,Team 14,Cycle Time (Purchase),53.72945366,135,,white,69
Jan-12,Team 14,Technical Error Rate,53.4390707,90,,red,70
Jan-12,Team 15,Net Promoter Score,53.14868773,45,,#ff0002,71
Jan-12,Team 15,Funded Loans,52.85830477,0,,white,72
Jan-12,Team 15,Cycle Time (Refinance),52.56792181,0,,white,73
Jan-12,Team 15,Cycle Time (Purchase),52.27753884,45,,yellow,74
Jan-12,Team 15,Technical Error Rate,51.98715588,90,,white,75
Jan-12,Team 16,Net Promoter Score,51.69677291,135,,red,76
Jan-12,Team 16,Funded Loans,51.40638995,180,,red,77
Jan-12,Team 16,Cycle Time (Refinance),51.11600699,135,,white,78
Jan-12,Team 16,Cycle Time (Purchase),50.82562402,90,,yellow,79
Jan-12,Team 16,Technical Error Rate,50.53524106,45,,green,80
Jan-12,Team 17,Net Promoter Score,50.24485809,0,,red,81
Jan-12,Team 17,Funded Loans,49.95447513,0,,red,82
Jan-12,Team 17,Cycle Time (Refinance),49.66409217,45,,white,83
Jan-12,Team 17,Cycle Time (Purchase),49.3737092,90,,yellow,84
Jan-12,Team 17,Technical Error Rate,49.08332624,135,,green,85
Jan-12,Team 18,Net Promoter Score,48.79294328,180,,red,86
Jan-12,Team 18,Funded Loans,48.50256031,135,,red,87
Jan-12,Team 18,Cycle Time (Refinance),48.21217735,90,,white,88
Jan-12,Team 18,Cycle Time (Purchase),47.92179438,45,,yellow,89
Jan-12,Team 18,Technical Error Rate,47.63141142,0,,green,90
Jan-12,Team 19,Net Promoter Score,47.34102846,0,,white,91
Jan-12,Team 19,Funded Loans,47.05064549,45,,yellow,92
Jan-12,Team 19,Cycle Time (Refinance),46.76026253,90,,green,93
Jan-12,Team 19,Cycle Time (Purchase),46.46987956,135,,red,94
Jan-12,Team 19,Technical Error Rate,46.1794966,180,,red,95
Jan-12,Team 20,Net Promoter Score,45.88911364,135,,white,96
Jan-12,Team 20,Funded Loans,45.59873067,90,,yellow,97
Jan-12,Team 20,Cycle Time (Refinance),45.30834771,45,,green,98
Jan-12,Team 20,Cycle Time (Purchase),45.01796474,0,,white,99
Jan-12,Team 20,Technical Error Rate,44.72758178,0,,yellow,100
Feb-12,Team 1,Net Promoter Score,44.43719882,45,,white,101
Feb-12,Team 1,Funded Loans,44.14681585,90,,yellow,102
Feb-12,Team 1,Cycle Time (Refinance),43.85643289,135,,green,103
Feb-12,Team 1,Cycle Time (Purchase),43.56604992,180,,white,104
Feb-12,Team 1,Technical Error Rate,43.27566696,135,,yellow,105
Feb-12,Team 2,Net Promoter Score,42.985284,90,,green,106
Feb-12,Team 2,Funded Loans,42.69490103,45,,red,107
Feb-12,Team 2,Cycle Time (Refinance),42.40451807,0,,red,108
Feb-12,Team 2,Cycle Time (Purchase),42.11413511,0,,white,109
Feb-12,Team 2,Technical Error Rate,41.82375214,45,,yellow,110
Feb-12,Team 3,Net Promoter Score,41.53336918,90,,green,111
Feb-12,Team 3,Funded Loans,41.24298621,135,,white,112
Feb-12,Team 3,Cycle Time (Refinance),40.95260325,180,,yellow,113
Feb-12,Team 3,Cycle Time (Purchase),40.66222029,135,,white,114
Feb-12,Team 3,Technical Error Rate,40.37183732,90,,yellow,115
Feb-12,Team 4,Net Promoter Score,40.08145436,45,,green,116
Feb-12,Team 4,Funded Loans,39.79107139,0,,white,117
Feb-12,Team 4,Cycle Time (Refinance),39.50068843,0,,yellow,118
Feb-12,Team 4,Cycle Time (Purchase),39.21030547,45,,green,119
Feb-12,Team 4,Technical Error Rate,38.9199225,90,,red,120
Feb-12,Team 5,Net Promoter Score,38.62953954,135,,red,121
Feb-12,Team 5,Funded Loans,38.33915657,180,,white,122
Feb-12,Team 5,Cycle Time (Refinance),38.04877361,135,,yellow,123
Feb-12,Team 5,Cycle Time (Purchase),37.75839065,90,,green,124
Feb-12,Team 5,Technical Error Rate,37.46800768,45,,white,125
Feb-12,Team 6,Net Promoter Score,37.17762472,0,,yellow,126
Feb-12,Team 6,Funded Loans,36.88724175,0,,white,127
Feb-12,Team 6,Cycle Time (Refinance),36.59685879,45,,yellow,128
Feb-12,Team 6,Cycle Time (Purchase),36.30647583,90,,green,129
Feb-12,Team 6,Technical Error Rate,36.01609286,135,,white,130
Feb-12,Team 7,Net Promoter Score,35.7257099,180,,yellow,131
Feb-12,Team 7,Funded Loans,35.43532694,135,,green,132
Feb-12,Team 7,Cycle Time (Refinance),35.14494397,90,,red,133
Feb-12,Team 7,Cycle Time (Purchase),34.85456101,45,,red,134
Feb-12,Team 7,Technical Error Rate,34.56417804,0,,white,135
Feb-12,Team 8,Net Promoter Score,34.27379508,0,,yellow,136
Feb-12,Team 8,Funded Loans,33.98341212,45,,green,137
Feb-12,Team 8,Cycle Time (Refinance),33.69302915,90,,white,138
Feb-12,Team 8,Cycle Time (Purchase),33.40264619,135,,yellow,139
Feb-12,Team 8,Technical Error Rate,33.11226322,180,,white,140
Feb-12,Team 9,Net Promoter Score,32.82188026,135,,yellow,141
Feb-12,Team 9,Funded Loans,32.5314973,90,,green,142
Feb-12,Team 9,Cycle Time (Refinance),32.24111433,45,,white,143
Feb-12,Team 9,Cycle Time (Purchase),31.95073137,0,,yellow,144
Feb-12,Team 9,Technical Error Rate,31.6603484,0,,green,145
Feb-12,Team 10,Net Promoter Score,31.36996544,45,,red,146
Feb-12,Team 10,Funded Loans,31.07958248,90,,red,147
Feb-12,Team 10,Cycle Time (Refinance),30.78919951,135,,white,148
Feb-12,Team 10,Cycle Time (Purchase),30.49881655,180,,yellow,149
Feb-12,Team 10,Technical Error Rate,30.20843359,135,,green,150
Feb-12,Team 11,Net Promoter Score,29.91805062,90,,white,151
Feb-12,Team 11,Funded Loans,29.62766766,45,,yellow,152
Feb-12,Team 11,Cycle Time (Refinance),29.33728469,0,,white,153
Feb-12,Team 11,Cycle Time (Purchase),29.04690173,0,,yellow,154
Feb-12,Team 11,Technical Error Rate,28.75651877,45,,green,155
Feb-12,Team 12,Net Promoter Score,28.4661358,90,,white,156
Feb-12,Team 12,Funded Loans,28.17575284,135,,yellow,157
Feb-12,Team 12,Cycle Time (Refinance),27.88536987,180,,green,158
Feb-12,Team 12,Cycle Time (Purchase),27.59498691,135,,red,159
Feb-12,Team 12,Technical Error Rate,27.30460395,90,,red,160
Feb-12,Team 13,Net Promoter Score,27.01422098,45,,white,161
Feb-12,Team 13,Funded Loans,26.72383802,0,,yellow,162
Feb-12,Team 13,Cycle Time (Refinance),26.43345505,0,,green,163
Feb-12,Team 13,Cycle Time (Purchase),26.14307209,45,,white,164
Feb-12,Team 13,Technical Error Rate,25.85268913,90,,yellow,165
Feb-12,Team 14,Net Promoter Score,25.56230616,135,,white,166
Feb-12,Team 14,Funded Loans,25.2719232,180,,yellow,167
Feb-12,Team 14,Cycle Time (Refinance),24.98154023,135,,green,168
Feb-12,Team 14,Cycle Time (Purchase),24.69115727,90,,white,169
Feb-12,Team 14,Technical Error Rate,24.40077431,45,,yellow,170
Feb-12,Team 15,Net Promoter Score,24.11039134,0,,green,171
Feb-12,Team 15,Funded Loans,23.82000838,0,,red,172
Feb-12,Team 15,Cycle Time (Refinance),23.52962542,45,,red,173
Feb-12,Team 15,Cycle Time (Purchase),23.23924245,90,,white,174
Feb-12,Team 15,Technical Error Rate,22.94885949,135,,yellow,175
Feb-12,Team 16,Net Promoter Score,22.65847652,180,,green,176
Feb-12,Team 16,Funded Loans,22.36809356,135,,white,177
Feb-12,Team 16,Cycle Time (Refinance),22.0777106,90,,yellow,178
Feb-12,Team 16,Cycle Time (Purchase),21.78732763,45,,white,179
Feb-12,Team 16,Technical Error Rate,21.49694467,0,,yellow,180
Feb-12,Team 17,Net Promoter Score,21.2065617,0,,green,181
Feb-12,Team 17,Funded Loans,20.91617874,45,,white,182
Feb-12,Team 17,Cycle Time (Refinance),20.62579578,90,,yellow,183
Feb-12,Team 17,Cycle Time (Purchase),20.33541281,135,,green,184
Feb-12,Team 17,Technical Error Rate,20.04502985,180,,red,185
Feb-12,Team 18,Net Promoter Score,19.75464688,135,,red,186
Feb-12,Team 18,Funded Loans,19.46426392,90,,white,187
Feb-12,Team 18,Cycle Time (Refinance),19.17388096,45,,yellow,188
Feb-12,Team 18,Cycle Time (Purchase),18.88349799,0,,green,189
Feb-12,Team 18,Technical Error Rate,18.59311503,0,,white,190
Feb-12,Team 19,Net Promoter Score,18.30273206,45,,yellow,191
Feb-12,Team 19,Funded Loans,18.0123491,90,,white,192
Feb-12,Team 19,Cycle Time (Refinance),17.72196614,135,,yellow,193
Feb-12,Team 19,Cycle Time (Purchase),17.43158317,180,,green,194
Feb-12,Team 19,Technical Error Rate,17.14120021,135,,white,195
Feb-12,Team 20,Net Promoter Score,16.85081725,90,,yellow,196
Feb-12,Team 20,Funded Loans,16.56043428,45,,green,197
Feb-12,Team 20,Cycle Time (Refinance),16.27005132,0,,red,198
Feb-12,Team 20,Cycle Time (Purchase),15.97966835,0,,red,199
Feb-12,Team 20,Technical Error Rate,15.68928539,45,,white,200
Mar-12,Team 1,Net Promoter Score,15.39890243,90,,yellow,201
Mar-12,Team 1,Funded Loans,15.10851946,135,,green,202
Mar-12,Team 1,Cycle Time (Refinance),14.8181365,180,,white,203
Mar-12,Team 1,Cycle Time (Purchase),14.52775353,135,,yellow,204
Mar-12,Team 1,Technical Error Rate,14.23737057,90,,white,205
Mar-12,Team 2,Net Promoter Score,13.94698761,45,,yellow,206
Mar-12,Team 2,Funded Loans,13.65660464,0,,green,207
Mar-12,Team 2,Cycle Time (Refinance),13.36622168,0,,white,208
Mar-12,Team 2,Cycle Time (Purchase),13.07583871,45,,yellow,209
Mar-12,Team 2,Technical Error Rate,12.78545575,90,,green,210
Mar-12,Team 3,Net Promoter Score,12.49507279,135,,red,211
Mar-12,Team 3,Funded Loans,12.20468982,180,,red,212
Mar-12,Team 3,Cycle Time (Refinance),11.91430686,135,,white,213
Mar-12,Team 3,Cycle Time (Purchase),11.62392389,90,,yellow,214
Mar-12,Team 3,Technical Error Rate,11.33354093,45,,green,215
