category,xAxis,yAxis,value,trend,target,color,ID
20120101,Team 1,Net Promoter Score,12,0,null,white,1
20120101,Team 1,Funded Loans,15,45,null,blue,2
20120101,Team 1,Cycle Time (Refinance),32,90,null,white,3
20120101,Team 1,Cycle Time (Purchase),20,135,null,yellow,4
20120101,Team 1,Technical Error Rate,68,180,null,white,5
20120101,Team 2,Net Promoter Score,123,135,null,red,6
20120101,Team 2,Cycle Time (Refinance),198,45,null,white,8
20120101,Team 2,Cycle Time (Purchase),2,0,null,white,9
20120101,Team 2,Technical Error Rate,0,0,null,red,10
20120101,Team 3,Net Promoter Score,79.06666667,45,null,#ff0001,11
20120101,Team 3,Funded Loans,83.87878788,90,null,white,12
20120101,Team 3,Cycle Time (Refinance),88.69090909,135,null,white,13
20120101,Team 3,Cycle Time (Purchase),93.5030303,180,null,yellow,14
20120101,Team 3,Technical Error Rate,98.31515152,135,null,white,15
20120101,Team 4,Net Promoter Score,103.1272727,90,null,#ff0001,16
20120101,Team 4,Funded Loans,107.9393939,45,null,white,17
20120101,Team 4,Cycle Time (Refinance),112.7515152,0,null,white,18
20120101,Team 4,Cycle Time (Purchase),117.5636364,0,null,yellow,19
20120101,Team 4,Technical Error Rate,122.3757576,45,null,white,20
20120101,Team 5,Net Promoter Score,12,90,null,#ff0000,21
20120101,Team 5,Funded Loans,15,135,null,white,22
20120101,Team 5,Cycle Time (Refinance),32,180,null,white,23
20120101,Team 5,Cycle Time (Purchase),20,135,null,yellow,24
20120101,Team 5,Technical Error Rate,68,90,null,white,25
20120101,Team 6,Net Promoter Score,123,45,null,red,26
20120101,Team 6,Funded Loans,56,0,null,red,27
20120101,Team 6,Cycle Time (Purchase),2,45,null,white,29
20120101,Team 6,Technical Error Rate,0,90,null,red,30
20120201,Team 1,Net Promoter Score,44.43719882,45,null,white,101
20120201,Team 1,Funded Loans,44.14681585,90,null,yellow,102
20120201,Team 1,Cycle Time (Refinance),43.85643289,135,null,green,103
20120201,Team 1,Cycle Time (Purchase),43.56604992,180,null,white,104
20120201,Team 1,Technical Error Rate,43.27566696,135,null,yellow,105
20120201,Team 2,Net Promoter Score,42.985284,90,null,green,106
20120201,Team 2,Funded Loans,42.69490103,45,null,red,107
20120201,Team 2,Cycle Time (Refinance),42.40451807,0,null,red,108
20120201,Team 2,Cycle Time (Purchase),42.11413511,0,null,white,109
20120201,Team 2,Technical Error Rate,41.82375214,45,null,yellow,110
20120201,Team 3,Net Promoter Score,41.53336918,90,null,green,111
20120201,Team 3,Funded Loans,41.24298621,135,null,white,112
20120201,Team 3,Cycle Time (Refinance),40.95260325,180,null,yellow,113
20120201,Team 3,Cycle Time (Purchase),40.66222029,135,null,white,114
20120201,Team 3,Technical Error Rate,40.37183732,90,null,yellow,115
20120201,Team 4,Net Promoter Score,40.08145436,45,null,green,116
20120201,Team 4,Funded Loans,39.79107139,0,null,white,117
20120201,Team 4,Cycle Time (Refinance),39.50068843,0,null,yellow,118
20120201,Team 4,Cycle Time (Purchase),39.21030547,45,null,green,119
20120201,Team 4,Technical Error Rate,38.9199225,90,null,red,120
20120201,Team 5,Net Promoter Score,38.62953954,135,null,red,121
