category,subcategory,xAxis,value,color
Gouverneur,3rd Next Available New,20131205,71,#d3e0f2
Gouverneur,3rd Next Available New,20131206,61,#2563bf
Gouverneur,3rd Next Available New,20131207,73,#6691d2
Gouverneur,3rd Next Available New,20131208,87,#a8c1e5
Gouverneur,3rd Next Available New,20131209,31,#2563bf
Gouverneur,3rd Next Available New,20131210,79,#2563bf
Gouverneur,3rd Next Available New,20131211,97,#a8c1e5
Gouverneur,3rd Next Available New,20131212,67,#2563bf
Gouverneur,3rd Next Available New,20131213,99,#a8c1e5
Gouverneur,3rd Next Available New,20131214,35,#a8c1e5
Gouverneur,3rd Next Available New,20131215,42,#d3e0f2
Gouverneur,3rd Next Available New,20131216,19,#d3e0f2
Gouverneur,3rd Next Available New,20131217,44,#a8c1e5
Gouverneur,3rd Next Available New,20131218,20,#d3e0f2
Gouverneur,3rd Next Avail Rvst,20131205,31,#a8c1e5
Gouverneur,3rd Next Avail Rvst,20131206,42,#d3e0f2
Gouverneur,3rd Next Avail Rvst,20131207,68,#2563bf
Gouverneur,3rd Next Avail Rvst,20131208,32,#2563bf
Gouverneur,3rd Next Avail Rvst,20131209,8,#a8c1e5
Gouverneur,3rd Next Avail Rvst,20131210,74,#6691d2
Gouverneur,3rd Next Avail Rvst,20131211,40,#2563bf
Gouverneur,3rd Next Avail Rvst,20131212,44,#2563bf
Gouverneur,3rd Next Avail Rvst,20131213,81,#6691d2
Gouverneur,3rd Next Avail Rvst,20131214,8,#6691d2
Gouverneur,3rd Next Avail Rvst,20131215,78,#2563bf
Gouverneur,3rd Next Avail Rvst,20131216,35,#2563bf
Gouverneur,3rd Next Avail Rvst,20131217,59,#2563bf
Gouverneur,3rd Next Avail Rvst,20131218,88,#2563bf
Gouverneur,Fill Rate,20131205,68,#a8c1e5
Gouverneur,Fill Rate,20131206,24,#6691d2
Gouverneur,Fill Rate,20131207,69,#a8c1e5
Gouverneur,Fill Rate,20131208,61,#a8c1e5
Gouverneur,Fill Rate,20131209,12,#d3e0f2
Gouverneur,Fill Rate,20131210,50,#6691d2
Gouverneur,Fill Rate,20131211,56,#2563bf
Gouverneur,Fill Rate,20131212,79,#2563bf
Gouverneur,Fill Rate,20131213,59,#a8c1e5
Gouverneur,Fill Rate,20131214,13,#d3e0f2
Gouverneur,Fill Rate,20131215,78,#6691d2
Gouverneur,Fill Rate,20131216,95,#d3e0f2
Gouverneur,Fill Rate,20131217,57,#a8c1e5
Gouverneur,Fill Rate,20131218,86,#d3e0f2
Gouverneur,No Show Rate,20131205,72,#a8c1e5
Gouverneur,No Show Rate,20131206,5,#2563bf
Gouverneur,No Show Rate,20131207,64,#2563bf
Gouverneur,No Show Rate,20131208,27,#a8c1e5
Gouverneur,No Show Rate,20131209,91,#a8c1e5
Gouverneur,No Show Rate,20131210,73,#6691d2
Gouverneur,No Show Rate,20131211,85,#2563bf
Gouverneur,No Show Rate,20131212,78,#2563bf
Gouverneur,No Show Rate,20131213,20,#6691d2
Gouverneur,No Show Rate,20131214,9,#a8c1e5
Gouverneur,No Show Rate,20131215,8,#2563bf
Gouverneur,No Show Rate,20131216,55,#6691d2
Gouverneur,No Show Rate,20131217,85,#2563bf
Gouverneur,No Show Rate,20131218,7,#d3e0f2
Gouverneur,In-Clinic Wait Time,20131205,86,#d3e0f2
Gouverneur,In-Clinic Wait Time,20131206,73,#a8c1e5
Gouverneur,In-Clinic Wait Time,20131207,61,#d3e0f2
Gouverneur,In-Clinic Wait Time,20131208,10,#a8c1e5
Gouverneur,In-Clinic Wait Time,20131209,43,#a8c1e5
Gouverneur,In-Clinic Wait Time,20131210,78,#d3e0f2
Gouverneur,In-Clinic Wait Time,20131211,58,#a8c1e5
Gouverneur,In-Clinic Wait Time,20131212,43,#a8c1e5
Gouverneur,In-Clinic Wait Time,20131213,40,#a8c1e5
Gouverneur,In-Clinic Wait Time,20131214,29,#a8c1e5
Gouverneur,In-Clinic Wait Time,20131215,72,#2563bf
Gouverneur,In-Clinic Wait Time,20131216,56,#6691d2
Gouverneur,In-Clinic Wait Time,20131217,19,#d3e0f2
Gouverneur,In-Clinic Wait Time,20131218,73,#6691d2
Gouverneur,Patient Satisfaction,20131205,53,#6691d2
Gouverneur,Patient Satisfaction,20131206,91,#6691d2
Gouverneur,Patient Satisfaction,20131207,12,#6691d2
Gouverneur,Patient Satisfaction,20131208,21,#a8c1e5
Gouverneur,Patient Satisfaction,20131209,36,#2563bf
Gouverneur,Patient Satisfaction,20131210,14,#d3e0f2
Gouverneur,Patient Satisfaction,20131211,27,#d3e0f2
Gouverneur,Patient Satisfaction,20131212,13,#d3e0f2
Gouverneur,Patient Satisfaction,20131213,16,#2563bf
Gouverneur,Patient Satisfaction,20131214,97,#6691d2
Gouverneur,Patient Satisfaction,20131215,70,#6691d2
Gouverneur,Patient Satisfaction,20131216,31,#2563bf
Gouverneur,Patient Satisfaction,20131217,6,#2563bf
Gouverneur,Patient Satisfaction,20131218,29,#6691d2
Gouverneur,Total Patients Seen,20131205,77,#2563bf
Gouverneur,Total Patients Seen,20131206,34,#a8c1e5
Gouverneur,Total Patients Seen,20131207,13,#6691d2
Gouverneur,Total Patients Seen,20131208,51,#6691d2
Gouverneur,Total Patients Seen,20131209,41,#a8c1e5
Gouverneur,Total Patients Seen,20131210,10,#d3e0f2
Gouverneur,Total Patients Seen,20131211,84,#d3e0f2
Gouverneur,Total Patients Seen,20131212,48,#6691d2
Gouverneur,Total Patients Seen,20131213,68,#d3e0f2
Gouverneur,Total Patients Seen,20131214,86,#2563bf
Gouverneur,Total Patients Seen,20131215,37,#2563bf
Gouverneur,Total Patients Seen,20131216,96,#6691d2
Gouverneur,Total Patients Seen,20131217,88,#a8c1e5
Gouverneur,Total Patients Seen,20131218,12,#d3e0f2
Jacobi,3rd Next Available New,20131205,65,#d3e0f2
Jacobi,3rd Next Available New,20131206,80,#d3e0f2
Jacobi,3rd Next Available New,20131207,85,#6691d2
Jacobi,3rd Next Available New,20131208,60,#2563bf
Jacobi,3rd Next Available New,20131209,15,#6691d2
Jacobi,3rd Next Available New,20131210,43,#a8c1e5
Jacobi,3rd Next Available New,20131211,49,#6691d2
Jacobi,3rd Next Available New,20131212,18,#a8c1e5
Jacobi,3rd Next Available New,20131213,83,#2563bf
Jacobi,3rd Next Available New,20131214,67,#d3e0f2
Jacobi,3rd Next Available New,20131215,98,#d3e0f2
Jacobi,3rd Next Available New,20131216,9,#6691d2
Jacobi,3rd Next Available New,20131217,38,#2563bf
Jacobi,3rd Next Available New,20131218,39,#a8c1e5
Jacobi,3rd Next Avail Rvst,20131205,77,#6691d2
Jacobi,3rd Next Avail Rvst,20131206,14,#6691d2
Jacobi,3rd Next Avail Rvst,20131207,96,#2563bf
Jacobi,3rd Next Avail Rvst,20131208,52,#d3e0f2
Jacobi,3rd Next Avail Rvst,20131209,7,#2563bf
Jacobi,3rd Next Avail Rvst,20131210,34,#6691d2
Jacobi,3rd Next Avail Rvst,20131211,43,#a8c1e5
Jacobi,3rd Next Avail Rvst,20131212,29,#6691d2
Jacobi,3rd Next Avail Rvst,20131213,47,#6691d2
Jacobi,3rd Next Avail Rvst,20131214,58,#2563bf
Jacobi,3rd Next Avail Rvst,20131215,95,#2563bf
Jacobi,3rd Next Avail Rvst,20131216,17,#2563bf
Jacobi,3rd Next Avail Rvst,20131217,9,#d3e0f2
Jacobi,3rd Next Avail Rvst,20131218,83,#a8c1e5
Jacobi,Fill Rate,20131205,8,#6691d2
Jacobi,Fill Rate,20131206,21,#2563bf
Jacobi,Fill Rate,20131207,56,#d3e0f2
Jacobi,Fill Rate,20131208,62,#a8c1e5
Jacobi,Fill Rate,20131209,60,#6691d2
Jacobi,Fill Rate,20131210,23,#d3e0f2
Jacobi,Fill Rate,20131211,68,#d3e0f2
Jacobi,Fill Rate,20131212,63,#a8c1e5
Jacobi,Fill Rate,20131213,85,#2563bf
Jacobi,Fill Rate,20131214,35,#d3e0f2
Jacobi,Fill Rate,20131215,15,#2563bf
Jacobi,Fill Rate,20131216,44,#a8c1e5
Jacobi,Fill Rate,20131217,19,#a8c1e5
Jacobi,Fill Rate,20131218,65,#d3e0f2
Jacobi,No Show Rate,20131205,35,#a8c1e5
Jacobi,No Show Rate,20131206,86,#6691d2
Jacobi,No Show Rate,20131207,99,#2563bf
Jacobi,No Show Rate,20131208,90,#6691d2
Jacobi,No Show Rate,20131209,70,#d3e0f2
Jacobi,No Show Rate,20131210,71,#2563bf
Jacobi,No Show Rate,20131211,93,#6691d2
Jacobi,No Show Rate,20131212,80,#2563bf
Jacobi,No Show Rate,20131213,7,#d3e0f2
Jacobi,No Show Rate,20131214,35,#d3e0f2
Jacobi,No Show Rate,20131215,80,#d3e0f2
Jacobi,No Show Rate,20131216,39,#d3e0f2
Jacobi,No Show Rate,20131217,79,#d3e0f2
Jacobi,No Show Rate,20131218,12,#d3e0f2
