category,xAxis,yAxis,value,trend,target,color,ID
Team 0,20131026,Net Promoter Score,6.28,null,25,#7FCDBB,100
Team 0,20131027,Net Promoter Score,12.53,null,25,#7FCDBB,101
Team 0,20131028,Net Promoter Score,18.74,null,25,#7FCDBB,102
Team 0,20131029,Net Promoter Score,24.87,null,25,#7FCDBB,103
Team 0,20131030,Net Promoter Score,30.90,null,25,#2C7FB8,104
Team 0,20131031,Net Promoter Score,36.81,null,25,#2C7FB8,105
Team 0,20131101,Net Promoter Score,42.58,null,25,#2C7FB8,106
Team 0,20131102,Net Promoter Score,48.18,null,25,#2C7FB8,107
Team 0,20131103,Net Promoter Score,53.58,null,25,#2C7FB8,108
Team 0,20131104,Net Promoter Score,58.78,null,25,#2C7FB8,109
Team 0,20131105,Net Promoter Score,63.74,null,25,#2C7FB8,110
Team 0,20131106,Net Promoter Score,68.45,null,25,#2C7FB8,111
Team 0,20131107,Net Promoter Score,72.90,null,25,#2C7FB8,112
Team 0,20131108,Net Promoter Score,77.05,null,25,#2C7FB8,113
Team 0,20131109,Net Promoter Score,80.90,null,25,#2C7FB8,114
Team 0,20131110,Net Promoter Score,84.43,null,25,#2C7FB8,115
Team 0,20131111,Net Promoter Score,87.63,null,25,#2C7FB8,116
Team 0,20131112,Net Promoter Score,90.48,null,25,#2C7FB8,117
Team 0,20131113,Net Promoter Score,92.98,null,25,#2C7FB8,118
Team 0,20131114,Net Promoter Score,95.11,null,25,#2C7FB8,119
Team 0,20131115,Net Promoter Score,96.86,null,25,#2C7FB8,120
Team 0,20131116,Net Promoter Score,98.23,null,25,#2C7FB8,121
Team 0,20131117,Net Promoter Score,99.21,null,25,#2C7FB8,122
Team 0,20131118,Net Promoter Score,99.80,null,25,#2C7FB8,123
Team 0,20131119,Net Promoter Score,100.00,null,25,#2C7FB8,124
Team 0,20131120,Net Promoter Score,99.80,null,25,#2C7FB8,125
Team 0,20131121,Net Promoter Score,99.21,null,25,#2C7FB8,126
Team 0,20131122,Net Promoter Score,98.23,null,25,#2C7FB8,127
Team 0,20131123,Net Promoter Score,96.86,null,25,#2C7FB8,128
Team 0,20131124,Net Promoter Score,95.11,null,25,#2C7FB8,129
Team 0,20131125,Net Promoter Score,92.98,null,25,#2C7FB8,130
Team 0,20131126,Net Promoter Score,90.48,null,25,#2C7FB8,131
Team 0,20131127,Net Promoter Score,87.63,null,25,#2C7FB8,132
Team 0,20131128,Net Promoter Score,84.43,null,25,#2C7FB8,133
Team 0,20131129,Net Promoter Score,80.90,null,25,#2C7FB8,134
Team 0,20131130,Net Promoter Score,77.05,null,25,#2C7FB8,135
Team 0,20131201,Net Promoter Score,72.90,null,25,#2C7FB8,136
Team 0,20131202,Net Promoter Score,68.45,null,25,#2C7FB8,137
Team 0,20131203,Net Promoter Score,63.74,null,25,#2C7FB8,138
Team 0,20131204,Net Promoter Score,58.78,null,25,#2C7FB8,139
Team 0,20131205,Net Promoter Score,53.58,null,25,#2C7FB8,140
