category,xAxis,yAxis,value,trend,target,color,ID
Team 1,20120101,Net Promoter Score,12,null,200,#fdbb03,1
Team 1,20120102,Net Promoter Score,15,null,25,#fdbb03,2
Team 1,20120103,Net Promoter Score,46,null,25,#e54d35,3
Team 1,20120104,Net Promoter Score,28,null,25,#fdbb03,4
Team 1,20120105,Net Promoter Score,45,null,25,#e54d35,5
Team 1,20120106,Net Promoter Score,52.9,null,25,#fdbb03,6
Team 1,20120107,Net Promoter Score,60.8,null,25,#d3e513,7
Team 1,20120108,Net Promoter Score,68.7,null,25,#e54d35,8
Team 1,20120109,Net Promoter Score,76.6,null,25,#d3e513,9
Team 1,20120110,Net Promoter Score,84.5,null,25,#e54d35,10
Team 1,20120111,Net Promoter Score,92.4,null,25,#fdbb03,11
Team 1,20120112,Net Promoter Score,100.3,null,25,#e54d35,12
Team 1,20120113,Net Promoter Score,108.2,null,25,#e54d35,13
Team 1,20120114,Net Promoter Score,116.1,null,25,#fdbb03,14
Team 1,20120115,Net Promoter Score,124,null,25,#d3e513,15
Team 1,20120116,Net Promoter Score,131.9,null,25,#e54d35,16
Team 1,20120117,Net Promoter Score,139.8,null,25,#e54d35,17
Team 1,20120118,Net Promoter Score,147.7,null,25,#e54d35,18
Team 1,20120119,Net Promoter Score,155.6,null,25,#e54d35,19
Team 1,20120120,Net Promoter Score,163.5,null,25,#e54d35,20
Team 1,20120121,Net Promoter Score,171.4,null,25,#e54d35,21
Team 1,20120122,Net Promoter Score,179.3,null,25,#d3e513,22
Team 1,20120123,Net Promoter Score,187.2,null,25,#d3e513,23
Team 1,20120124,Net Promoter Score,195.1,null,25,#fdbb03,24
Team 1,20120125,Net Promoter Score,203,null,25,#fdbb03,25
Team 1,20120126,Net Promoter Score,210.9,null,25,#d3e513,26
Team 1,20120127,Net Promoter Score,218.8,null,25,#e54d35,27
Team 1,20120128,Net Promoter Score,226.7,null,25,#fdbb03,28
Team 1,20120129,Net Promoter Score,234.6,null,25,#e54d35,29
Team 1,20120130,Net Promoter Score,242.5,null,25,#e54d35,30
Team 1,20120131,Net Promoter Score,35,null,25,#d3e513,31
Team 1,20120201,Net Promoter Score,26,null,25,#e54d35,32
Team 1,20120202,Net Promoter Score,89,null,25,#e54d35,33
Team 1,20120203,Net Promoter Score,64,null,25,#e54d35,34
Team 1,20120204,Net Promoter Score,78,null,25,#e54d35,35
Team 1,20120205,Net Promoter Score,61,null,25,#fdbb03,36
Team 1,20120206,Net Promoter Score,171.9793651,null,25,#e54d35,37
Team 1,20120207,Net Promoter Score,174.9820034,null,25,#e54d35,38
Team 1,20120208,Net Promoter Score,177.9846418,null,25,#fdbb03,39
Team 1,20120209,Net Promoter Score,180.9872801,null,25,#e54d35,40
Team 1,20120210,Net Promoter Score,183.9899185,null,25,#e54d35,41
