category,xAxis,yAxis,value,trend,target,color,ID
Team 0,20140121,Net Promoter Score,6.28,null,25,#7FCDBB,100
Team 0,20140122,Net Promoter Score,12.53,null,25,#7FCDBB,101
Team 0,20140123,Net Promoter Score,18.74,null,25,#7FCDBB,102
Team 0,20140124,Net Promoter Score,24.87,null,25,#7FCDBB,103
Team 0,20140125,Net Promoter Score,30.90,null,25,#2C7FB8,104
Team 0,20140126,Net Promoter Score,36.81,null,25,#2C7FB8,105
Team 0,20140127,Net Promoter Score,42.58,null,25,#2C7FB8,106
Team 0,20140128,Net Promoter Score,48.18,null,25,#2C7FB8,107
Team 0,20140129,Net Promoter Score,53.58,null,25,#2C7FB8,108
Team 0,20140130,Net Promoter Score,58.78,null,25,#2C7FB8,109
Team 0,20140131,Net Promoter Score,63.74,null,25,#2C7FB8,110
Team 0,20140201,Net Promoter Score,68.45,null,25,#2C7FB8,111
Team 0,20140202,Net Promoter Score,72.90,null,25,#2C7FB8,112
Team 0,20140203,Net Promoter Score,77.05,null,25,#2C7FB8,113
Team 0,20140204,Net Promoter Score,80.90,null,25,#2C7FB8,114
Team 0,20140205,Net Promoter Score,84.43,null,25,#2C7FB8,115
Team 0,20140206,Net Promoter Score,87.63,null,25,#2C7FB8,116
Team 0,20140207,Net Promoter Score,90.48,null,25,#2C7FB8,117
Team 0,20140208,Net Promoter Score,92.98,null,25,#2C7FB8,118
Team 0,20140209,Net Promoter Score,95.11,null,25,#2C7FB8,119
Team 0,20140210,Net Promoter Score,96.86,null,25,#2C7FB8,120
Team 0,20140211,Net Promoter Score,98.23,null,25,#2C7FB8,121
Team 0,20140212,Net Promoter Score,99.21,null,25,#2C7FB8,122
Team 0,20140213,Net Promoter Score,99.80,null,25,#2C7FB8,123
Team 0,20140214,Net Promoter Score,100.00,null,25,#2C7FB8,124
Team 0,20140215,Net Promoter Score,99.80,null,25,#2C7FB8,125
Team 0,20140216,Net Promoter Score,99.21,null,25,#2C7FB8,126
Team 0,20140217,Net Promoter Score,98.23,null,25,#2C7FB8,127
Team 0,20140218,Net Promoter Score,96.86,null,25,#2C7FB8,128
Team 0,20140219,Net Promoter Score,95.11,null,25,#2C7FB8,129
Team 0,20140220,Net Promoter Score,92.98,null,25,#2C7FB8,130
Team 0,20140221,Net Promoter Score,90.48,null,25,#2C7FB8,131
Team 0,20140222,Net Promoter Score,87.63,null,25,#2C7FB8,132
Team 0,20140223,Net Promoter Score,84.43,null,25,#2C7FB8,133
Team 0,20140224,Net Promoter Score,80.90,null,25,#2C7FB8,134
Team 0,20140225,Net Promoter Score,77.05,null,25,#2C7FB8,135
Team 0,20140226,Net Promoter Score,72.90,null,25,#2C7FB8,136
Team 0,20140227,Net Promoter Score,68.45,null,25,#2C7FB8,137
Team 0,20140228,Net Promoter Score,63.74,null,25,#2C7FB8,138
Team 0,20140301,Net Promoter Score,58.78,null,25,#2C7FB8,139
Team 0,20140302,Net Promoter Score,53.58,null,25,#2C7FB8,140
Team 0,20140303,Net Promoter Score,48.18,null,25,#2C7FB8,141
Team 0,20140304,Net Promoter Score,42.58,null,25,#2C7FB8,142
Team 0,20140305,Net Promoter Score,36.81,null,25,#2C7FB8,143
Team 0,20140306,Net Promoter Score,30.90,null,25,#2C7FB8,144
Team 0,20140307,Net Promoter Score,24.87,null,25,#7FCDBB,145
Team 0,20140308,Net Promoter Score,18.74,null,25,#7FCDBB,146
Team 0,20140309,Net Promoter Score,12.53,null,25,#7FCDBB,147
Team 0,20140310,Net Promoter Score,6.28,null,25,#7FCDBB,148
Team 0,20140311,Net Promoter Score,-0.00,null,25,#7FCDBB,149
Team 0,20140312,Net Promoter Score,-6.28,null,25,#7FCDBB,150
Team 0,20140313,Net Promoter Score,-12.53,null,25,#7FCDBB,151
Team 0,20140314,Net Promoter Score,-18.74,null,25,#7FCDBB,152
Team 0,20140315,Net Promoter Score,-24.87,null,25,#7FCDBB,153
Team 0,20140316,Net Promoter Score,-30.90,null,25,#D95F0E,154
Team 0,20140317,Net Promoter Score,-36.81,null,25,#D95F0E,155
Team 0,20140318,Net Promoter Score,-42.58,null,25,#D95F0E,156
Team 0,20140319,Net Promoter Score,-48.18,null,25,#D95F0E,157
Team 0,20140320,Net Promoter Score,-53.58,null,25,#D95F0E,158
Team 0,20140321,Net Promoter Score,-58.78,null,25,#D95F0E,159
Team 0,20140322,Net Promoter Score,-63.74,null,25,#D95F0E,160
Team 0,20140323,Net Promoter Score,-68.45,null,25,#D95F0E,161
Team 0,20140324,Net Promoter Score,-72.90,null,25,#D95F0E,162
Team 0,20140325,Net Promoter Score,-77.05,null,25,#D95F0E,163
Team 0,20140326,Net Promoter Score,-80.90,null,25,#D95F0E,164
Team 0,20140327,Net Promoter Score,-84.43,null,25,#D95F0E,165
Team 0,20140328,Net Promoter Score,-87.63,null,25,#D95F0E,166
Team 0,20140329,Net Promoter Score,-90.48,null,25,#D95F0E,167
Team 0,20140330,Net Promoter Score,-92.98,null,25,#D95F0E,168
Team 0,20140331,Net Promoter Score,-95.11,null,25,#D95F0E,169
Team 0,20140401,Net Promoter Score,-96.86,null,25,#D95F0E,170
Team 0,20140402,Net Promoter Score,-98.23,null,25,#D95F0E,171
Team 0,20140403,Net Promoter Score,-99.21,null,25,#D95F0E,172
Team 0,20140404,Net Promoter Score,-99.80,null,25,#D95F0E,173
Team 0,20140405,Net Promoter Score,-100.00,null,25,#D95F0E,174
Team 0,20140406,Net Promoter Score,-99.80,null,25,#D95F0E,175
Team 0,20140407,Net Promoter Score,-99.21,null,25,#D95F0E,176
Team 0,20140408,Net Promoter Score,-98.23,null,25,#D95F0E,177
Team 0,20140409,Net Promoter Score,-96.86,null,25,#D95F0E,178
Team 0,20140410,Net Promoter Score,-95.11,null,25,#D95F0E,179
Team 0,20140411,Net Promoter Score,-92.98,null,25,#D95F0E,180
Team 0,20140412,Net Promoter Score,-90.48,null,25,#D95F0E,181
Team 0,20140413,Net Promoter Score,-87.63,null,25,#D95F0E,182
Team 0,20140414,Net Promoter Score,-84.43,null,25,#D95F0E,183
Team 0,20140415,Net Promoter Score,-80.90,null,25,#D95F0E,184
Team 0,20140416,Net Promoter Score,-77.05,null,25,#D95F0E,185
Team 0,20140417,Net Promoter Score,-72.90,null,25,#D95F0E,186
Team 0,20140418,Net Promoter Score,-68.45,null,25,#D95F0E,187
Team 0,20140419,Net Promoter Score,-63.74,null,25,#D95F0E,188
Team 0,20140420,Net Promoter Score,-58.78,null,25,#D95F0E,189
Team 0,20140421,Net Promoter Score,-53.58,null,25,#D95F0E,190
Team 0,20140422,Net Promoter Score,-48.18,null,25,#D95F0E,191
Team 0,20140423,Net Promoter Score,-42.58,null,25,#D95F0E,192
Team 0,20140424,Net Promoter Score,-36.81,null,25,#D95F0E,193
Team 0,20140425,Net Promoter Score,-30.90,null,25,#D95F0E,194
Team 0,20140426,Net Promoter Score,-24.87,null,25,#7FCDBB,195
Team 0,20140427,Net Promoter Score,-18.74,null,25,#7FCDBB,196
Team 0,20140428,Net Promoter Score,-12.53,null,25,#7FCDBB,197
Team 0,20140429,Net Promoter Score,-6.28,null,25,#7FCDBB,198
Team 0,20140430,Net Promoter Score,0.00,null,25,#7FCDBB,199
Team 0,20140501,Net Promoter Score,6.28,null,25,#7FCDBB,200
Team 0,20140502,Net Promoter Score,12.53,null,25,#7FCDBB,201
Team 0,20140503,Net Promoter Score,18.74,null,25,#7FCDBB,202
Team 0,20140504,Net Promoter Score,24.87,null,25,#7FCDBB,203
Team 0,20140505,Net Promoter Score,30.90,null,25,#2C7FB8,204
Team 0,20140506,Net Promoter Score,36.81,null,25,#2C7FB8,205
Team 0,20140507,Net Promoter Score,42.58,null,25,#2C7FB8,206
Team 0,20140508,Net Promoter Score,48.18,null,25,#2C7FB8,207
Team 0,20140509,Net Promoter Score,53.58,null,25,#2C7FB8,208
Team 0,20140510,Net Promoter Score,58.78,null,25,#2C7FB8,209
Team 0,20140511,Net Promoter Score,63.74,null,25,#2C7FB8,210
Team 0,20140512,Net Promoter Score,68.45,null,25,#2C7FB8,211
