category,subcategory,yAxis,value,color
ABCDEFGHIJKL 1,Total,Label - 0,3200000,blue
ABCDEFGHIJKL 1,Total,Label - 1,7200000,blue
ABCDEFGHIJKL 1,Total,Label - 2,3200000,blue
ABCDEFGHIJKL 1,Total,Label - 3,7200000,blue
ABCDEFGHIJKL 1,Total,Label - 4,5500000,blue
ABCDEFGHIJKL 1,Total,Label - 5,8600000,blue
ABCDEFGHIJKL 1,Total,Label - 6,2600000,blue
ABCDEFGHIJKL 1,Total,Label - 7,3500000,blue
ABCDEFGHIJKL 1,Total,Label - 8,5900000,blue
ABCDEFGHIJKL 1,Total,Label - 9,2300000,blue
ABCDEFGHIJ 2,Total,Label - 0,2500000,#fdbb03
ABCDEFGHIJ 2,Total,Label - 1,7200000,#fdbb03
ABCDEFGHIJ 2,Total,Label - 2,3200000,#fdbb03
ABCDEFGHIJ 2,Total,Label - 3,4800000,#fdbb03
ABCDEFGHIJ 2,Total,Label - 4,5500000,#fdbb03
ABCDEFGHIJ 2,Total,Label - 5,8600000,#fdbb03
ABCDEFGHIJ 2,Total,Label - 6,2600000,#fdbb03
ABCDEFGHIJ 2,Total,Label - 7,5500000,#fdbb03
ABCDEFGHIJ 2,Total,Label - 8,5900000,#fdbb03
ABCDEFGHIJ 2,Total,Label - 9,1300000,#fdbb03
Thomas 2,Total,Label - 0,2500000,#85C1E9
Thomas 2,Total,Label - 1,7200000,#85C1E9
Thomas 2,Total,Label - 2,3200000,#85C1E9
Thomas 2,Total,Label - 3,4800000,#85C1E9
Thomas 2,Total,Label - 4,5500000,#85C1E9
Thomas 2,Total,Label - 5,8600000,#85C1E9
Thomas 2,Total,Label - 6,2600000,#85C1E9
Thomas 2,Total,Label - 7,3500000,#85C1E9
Thomas 2,Total,Label - 8,5900000,#85C1E9
Thomas 2,Total,Label - 9,130000,#85C1E9
